YELLOW,NEC,1,254,0
BLUE,NEC,1,254,3
STOP,NEC,1,254,4
EXIT,NEC,1,254,5
UP,NEC,1,254,6
RECORD,NEC,1,254,7
TEXT,NEC,1,254,8
EPG,NEC,1,254,11
9,NEC,1,254,12
NEXT,NEC,1,254,13
PG+,NEC,1,254,14
0,NEC,1,254,15
3,NEC,1,254,16
PREV,NEC,1,254,17
PG-,NEC,1,254,18
TV/R,NEC,1,254,19
6,NEC,1,254,20
FAV,NEC,1,254,21
DOWN,NEC,1,254,22
RECALL,NEC,1,254,23
SLEEP,NEC,1,254,24
MUTE,NEC,1,254,25
OK,NEC,1,254,26
RIGHT,NEC,1,254,27
GREEN,NEC,1,254,64
RED,NEC,1,254,66
PAUSE,NEC,1,254,68
MENU,NEC,1,254,69
PLAY,NEC,1,254,70
SUB,NEC,1,254,72
AUDIO,NEC,1,254,74
8,NEC,1,254,76
REW,NEC,1,254,77
7,NEC,1,254,78
2,NEC,1,254,80
FF,NEC,1,254,81
1,NEC,1,254,82
5,NEC,1,254,84
GOTO,NEC,1,254,85
4,NEC,1,254,86
INFO,NEC,1,254,88
POWER,NEC,1,254,89
LEFT,NEC,1,254,90
