Unavailable;184;87;1
Unavailable;184;87;2
Unavailable;184;87;3
Unavailable;184;87;4
Unavailable;184;87;5
Unavailable;184;87;6
Unavailable;184;87;7
Unavailable;184;87;8
Unavailable;184;87;9
Unavailable;184;87;10
Unavailable;184;87;11
Power;184;87;12
Mute;184;87;13
Source;184;87;14
Up;184;87;16
Left;184;87;17
Ok;184;87;18
Right;184;87;19
Down;184;87;20
Menu;184;87;22
Pause/Play;184;87;24
Prev;184;87;28
Next;184;87;29
Vol -;184;87;30
Vol+;184;87;31
Display mode;184;87;64
Audio Mode;184;87;65
;184;87;88
Orientation;184;87;89
Aspect ratio/ Zoom;184;87;90
Freeze;184;87;91
