functionname,protocol,device,subdevice,function
1,NEC1,128,105,0
2,NEC1,128,105,1
3,NEC1,128,105,2
4,NEC1,128,105,3
5,NEC1,128,105,4
6,NEC1,128,105,5
7,NEC1,128,105,6
8,NEC1,128,105,7
9,NEC1,128,105,8
0,NEC1,128,105,9
TV/VCR,NEC1,128,105,10
TIMER,NEC1,128,105,11
,NEC1,128,105,12
ENTER,NEC1,128,105,13
EXIT,NEC1,128,105,14
CHANNEL -,NEC1,128,105,15
POWER,NEC1,128,105,16
MUTE,NEC1,128,105,17
SIS,NEC1,128,105,18
CHANNEL +,NEC1,128,105,20
